OCR Tool                    , Company		, Type           					, Technical requirements
FineReader					, Abbyy			, Proprietary API					, Low
Textract	            	, Amazon		, Proprietary API					, Medium
Azure Cognitive Services	, Microsoft		, Proprietary API					, Medium
Vision						, Google		, Proprietary API 					, Medium
Kindai                  	, n2i Project	, Open source pre-trained OCR model	, High
Kraken						, Open source	, Open source OCR engine			, High
Tesseract					, Open source	, Open source OCR engine			, Medium
