263,4,330,4,335,1039,268,1040
398,4,466,4,466,1035,398,1035
913,4,976,4,976,855,913,855
976,4,1040,4,1040,1035,976,1035
1103,4,1171,4,1171,1035,1103,1035
1166,4,1234,4,1234,1030,1166,1030
1297,0,1365,0,1365,1035,1297,1035
1360,4,1428,4,1428,918,1360,918
1496,4,1560,4,1560,1035,1496,1035
1560,0,1623,0,1623,957,1560,957
1686,4,1749,4,1749,1035,1686,1035
1751,0,1818,0,1812,889,1745,889
1880,4,1948,4,1948,1035,1880,1035
1944,0,2007,0,2007,801,1944,801
2075,0,2133,0,2133,291,2075,291
2332,4,2395,4,2395,592,2332,592
223,43,267,43,267,116,223,116
669,38,725,39,719,831,663,830
733,38,787,38,787,539,733,539
797,38,850,38,850,320,797,320
2211,38,2269,38,2264,1030,2206,1030
22,43,80,43,72,544,15,543
87,43,140,43,140,286,87,286
150,43,208,43,208,1040,150,1040
344,43,400,43,393,972,337,971
476,43,534,43,534,1040,476,1040
541,43,597,43,592,1035,536,1035
592,43,660,43,660,218,592,218
851,43,918,43,913,1035,845,1035
1056,48,1103,48,1108,330,1061,331
1448,48,1496,48,1496,865,1448,865
1827,43,1880,43,1880,758,1827,758
2157,48,2201,48,2201,111,2157,111
2279,43,2335,43,2328,1035,2271,1035
1642,53,1686,53,1686,374,1642,374
1252,58,1292,56,1299,160,1258,162
2148,111,2201,111,2201,568,2148,568
2007,116,2070,116,2070,899,2007,899
210,131,267,130,272,1035,215,1035
588,267,656,267,656,1035,588,1035
2070,296,2133,296,2133,1035,2070,1035
82,301,140,301,140,1040,82,1040
778,340,845,339,850,1035,783,1035
729,568,782,568,782,680,729,680
2327,651,2400,651,2400,1040,2327,1040
738,690,777,690,777,763,738,763
729,767,782,767,782,1035,729,1035
937,860,976,860,976,942,937,942
660,923,724,923,724,1040,660,1040
1059,947,1103,947,1103,1035,1059,1035
1244,942,1297,942,1297,1040,1244,1040
