338,0,403,0,398,904,332,903
466,0,530,0,541,1025,476,1025
592,0,660,0,660,1025,592,1025
660,0,724,0,724,1030,660,1030
783,0,855,0,850,1030,778,1030
855,0,920,0,914,360,849,359
918,0,981,0,981,291,918,291
981,0,1044,0,1044,1030,981,1030
2264,0,2327,0,2327,291,2264,291
1749,34,1817,34,1817,1030,1749,1030
286,38,340,38,340,374,286,374
417,38,474,39,464,967,407,966
743,43,787,43,787,106,743,106
1057,38,1113,38,1108,1030,1052,1030
1122,38,1176,38,1176,456,1122,456
1375,38,1428,38,1428,1030,1375,1030
1443,38,1496,38,1496,238,1443,238
1506,38,1560,38,1560,427,1506,427
1705,43,1749,43,1749,408,1705,408
2016,38,2075,38,2075,694,2016,694
2094,43,2133,43,2133,243,2094,243
2148,38,2201,38,2201,1030,2148,1030
544,43,597,43,597,286,544,286
1195,48,1239,48,1239,243,1195,243
1253,43,1302,43,1302,155,1253,155
1555,43,1623,43,1623,1030,1555,1030
1618,43,1686,43,1686,937,1618,937
1827,43,1880,43,1880,539,1827,539
1944,43,2007,43,2007,1030,1944,1030
2216,48,2264,48,2264,1030,2216,1030
2357,48,2395,48,2395,155,2357,155
40,52,88,54,80,326,32,324
160,48,208,48,208,204,160,204
97,58,145,58,145,247,97,247
738,106,792,106,792,311,738,311
1875,111,1944,111,1944,1030,1875,1030
208,121,272,121,272,1025,208,1025
1302,121,1365,121,1365,1025,1302,1025
1234,179,1302,179,1302,1030,1234,1030
2332,228,2395,228,2395,923,2332,923
140,233,204,233,204,1020,140,1020
1428,272,1492,272,1492,1030,1428,1030
1171,286,1239,286,1239,1025,1171,1025
2269,301,2298,301,2298,359,2269,359
918,306,952,306,952,364,918,364
77,315,136,315,136,972,77,972
2057,316,2138,315,2143,1035,2063,1035
24,325,77,325,77,520,24,520
2298,359,2327,359,2327,393,2298,393
918,354,981,354,981,1030,918,1030
855,364,913,364,913,972,855,972
286,393,335,393,335,1025,286,1025
2263,393,2327,393,2334,1025,2270,1026
1098,471,1169,470,1176,1030,1105,1031
1504,474,1557,477,1547,716,1494,714
1681,481,1749,481,1749,1025,1681,1025
1812,626,1875,626,1875,962,1812,962
1492,714,1560,714,1560,1035,1492,1035
2007,714,2070,714,2070,1025,2007,1025
733,889,787,889,787,1030,733,1030
335,905,391,901,401,1029,345,1033
889,967,913,967,913,996,889,996
1846,967,1880,967,1880,1025,1846,1025
106,981,136,981,136,1015,106,1015
