27,27,72,27,72,538,27,538
646,27,688,27,695,688,654,688
732,27,777,27,777,688,732,688
771,27,816,27,816,549,771,549
838,22,938,22,938,688,838,688
316,33,360,33,360,366,316,366
522,33,566,32,574,688,530,688
1432,33,1471,33,1471,688,1432,688
288,49,322,49,322,688,288,688
444,49,488,49,488,688,444,688
616,49,649,49,649,138,616,138
77,55,105,55,105,333,77,333
161,55,199,55,199,333,161,333
199,55,238,55,238,688,199,688
244,55,283,55,283,444,244,444
366,55,405,55,405,677,366,677
410,55,449,55,449,333,410,333
494,55,527,55,527,521,494,521
577,55,610,55,610,183,577,183
699,55,732,55,732,322,699,322
821,55,860,55,860,349,821,349
943,55,982,55,982,266,943,266
982,55,1021,55,1021,466,982,466
1021,55,1065,55,1065,438,1021,438
1104,55,1143,55,1143,688,1104,688
1149,55,1188,55,1188,688,1149,688
1188,55,1226,55,1226,688,1188,688
1232,55,1265,55,1265,138,1232,138
1271,55,1310,55,1310,338,1271,338
1310,55,1354,55,1354,105,1310,105
1354,55,1393,55,1393,688,1354,688
116,61,149,61,149,338,116,338
1065,61,1104,61,1104,688,1065,688
1393,61,1432,61,1432,688,1393,688
1482,61,1510,61,1510,260,1482,260
1521,61,1554,61,1554,333,1521,333
1232,166,1265,166,1265,510,1232,510
1304,149,1349,149,1349,694,1304,694
621,166,644,166,644,216,621,216
571,183,605,183,605,471,571,471
621,222,644,222,644,294,621,294
699,327,732,327,732,455,699,455
410,355,449,355,449,688,410,688
161,355,194,355,194,688,161,688
122,355,149,355,149,677,122,677
1271,355,1310,355,1310,688,1271,688
616,394,655,394,655,688,616,688
1521,410,1554,410,1554,688,1521,688
322,416,360,416,360,688,322,688
1027,438,1065,438,1065,688,1027,688
249,449,272,449,272,494,249,494
577,483,610,483,610,660,577,660
988,494,1021,494,1021,605,988,605
244,532,277,532,277,688,244,688
1226,538,1260,538,1260,599,1226,599
488,566,521,566,521,682,488,682
1226,616,1271,616,1271,694,1226,694
910,616,932,616,932,682,910,682
988,627,1021,627,1021,688,988,688
27,716,72,716,72,949,27,949
111,716,155,716,155,1376,111,1376
146,716,194,715,201,1354,153,1355
277,716,322,716,322,1371,277,1371
316,716,360,716,360,1260,316,1260
399,716,444,716,444,916,399,916
437,716,482,715,488,1376,442,1377
527,716,571,716,571,1376,527,1376
610,716,655,716,655,1376,610,1376
649,716,694,716,694,1371,649,1371
777,716,821,716,821,1376,777,1376
810,710,899,710,899,1376,810,1376
982,716,1021,716,1021,888,982,888
1310,716,1349,716,1349,1343,1310,1343
1432,716,1476,716,1476,1376,1432,1376
1471,716,1515,716,1515,1326,1471,1326
1510,716,1554,716,1554,1293,1510,1293
743,738,777,738,777,1376,743,1376
904,738,943,738,943,1038,904,1038
943,738,982,738,982,1376,943,1376
1027,738,1065,738,1065,1171,1027,1171
1110,738,1143,738,1143,1360,1110,1360
77,743,116,743,116,1010,77,1010
207,743,237,744,227,922,197,920
366,743,405,743,405,1088,366,1088
488,743,527,743,527,1010,488,1010
577,743,616,743,616,1349,577,1349
699,743,732,743,732,960,699,960
1149,743,1188,743,1188,1115,1149,1115
1188,743,1226,743,1226,1376,1188,1376
1227,744,1260,743,1266,904,1233,906
1276,743,1304,743,1304,949,1276,949
1354,743,1393,743,1393,1199,1354,1199
1399,743,1432,743,1432,816,1399,816
244,771,277,771,277,1371,244,1371
1060,777,1104,777,1104,1376,1060,1376
1388,871,1432,871,1432,1376,1388,1376
399,910,444,910,444,1265,399,1265
982,910,1021,910,1021,938,982,938
1232,932,1271,932,1271,1321,1232,1321
27,943,72,943,72,1376,27,1376
1265,999,1310,999,1310,1376,1265,1376
982,993,1021,993,1021,1376,982,1376
904,1115,943,1115,943,1365,904,1365
699,1121,738,1121,738,1376,699,1376
1143,1171,1182,1171,1182,1376,1143,1376
494,1288,521,1288,521,1371,494,1371
410,1293,438,1293,438,1371,410,1371
216,1404,277,1404,277,2065,216,2065
282,1398,370,1399,360,2060,272,2058
399,1404,444,1404,444,2059,399,2059
444,1404,488,1404,488,2059,444,2059
523,1404,572,1404,566,1987,517,1987
566,1404,610,1404,610,2026,566,2026
610,1404,649,1404,649,1593,610,1593
649,1404,694,1404,694,2065,649,2065
1471,1404,1515,1404,1515,1632,1471,1632
205,1426,238,1426,238,1626,205,1626
494,1426,527,1426,527,1598,494,1598
694,1426,732,1426,732,2065,694,2065
738,1426,777,1426,777,1698,738,1698
943,1426,982,1426,982,1543,943,1543
982,1426,1016,1426,1016,1687,982,1687
1138,1426,1182,1426,1182,2065,1138,2065
122,1432,155,1432,155,1532,122,1532
371,1432,405,1432,405,1587,371,1587
782,1432,810,1432,810,1554,782,1554
821,1432,893,1432,893,2065,821,2065
899,1432,938,1432,938,2065,899,2065
1016,1432,1060,1432,1060,2065,1016,2065
1060,1432,1099,1432,1099,1837,1060,1837
1110,1432,1138,1432,1138,1660,1110,1660
1188,1432,1226,1432,1226,1748,1188,1748
1260,1432,1310,1432,1310,2065,1260,2065
1310,1432,1349,1432,1349,1587,1310,1587
1354,1432,1388,1432,1388,1487,1354,1487
1393,1432,1426,1432,1426,1637,1393,1637
83,1437,111,1437,111,1543,83,1543
155,1437,199,1437,199,1959,155,1959
1221,1437,1265,1437,1265,2065,1221,2065
1437,1454,1465,1454,1465,1621,1437,1621
38,1493,66,1493,66,1732,38,1732
810,1549,855,1549,855,2065,810,2065
111,1549,155,1549,155,2054,111,2054
1510,1560,1554,1560,1554,1998,1510,1998
938,1604,977,1604,977,2020,938,2020
72,1610,111,1610,111,1993,72,1993
1343,1610,1388,1610,1388,2059,1343,2059
771,1615,816,1615,816,2059,771,2059
1315,1626,1349,1626,1349,1848,1315,1848
1468,1654,1509,1653,1522,2059,1481,2060
602,1649,646,1647,659,1903,616,1905
1393,1648,1432,1648,1432,2065,1393,2065
205,1654,238,1654,238,1926,205,1926
1437,1676,1465,1676,1465,1865,1437,1865
977,1743,1016,1743,1016,2065,977,2065
1099,1721,1138,1721,1138,2065,1099,2065
727,1748,771,1748,771,2065,727,2065
1182,1804,1221,1804,1221,1982,1182,1982
1065,1843,1099,1843,1099,2004,1065,2004
1437,1871,1471,1871,1471,2065,1437,2065
1304,1887,1349,1887,1349,2059,1304,2059
199,1926,233,1926,233,2059,199,2059
610,1932,649,1932,649,2065,610,2065
161,1959,188,1959,188,2054,161,2054
488,1970,527,1970,527,2065,488,2065
80,1999,99,1996,108,2048,89,2051
538,2020,560,2020,560,2054,538,2054
943,2032,977,2032,977,2065,943,2065
727,2087,771,2087,771,2753,727,2753
855,2087,899,2087,899,2603,855,2603
893,2087,938,2087,938,2659,893,2659
977,2087,1021,2087,1021,2748,977,2748
1016,2087,1060,2087,1060,2703,1016,2703
1138,2087,1182,2087,1182,2659,1138,2659
1226,2087,1265,2087,1265,2748,1226,2748
1260,2087,1304,2087,1304,2587,1260,2587
1349,2087,1388,2087,1388,2748,1349,2748
1515,2087,1554,2087,1554,2448,1515,2448
194,2093,233,2093,233,2753,194,2753
277,2093,322,2093,322,2753,277,2753
605,2093,649,2093,649,2692,605,2692
649,2093,688,2093,688,2720,649,2720
766,2093,810,2093,810,2637,766,2637
1071,2093,1143,2093,1143,2653,1071,2653
33,2115,72,2115,72,2437,33,2437
77,2115,111,2115,111,2259,77,2259
